Name:ID¶Signifier¶Fact
Fact1471¶"boundary accurately related to boundary"¶"boundary accurately related to boundary"
Fact1472¶"boundary point accurately related to boundary point"¶"boundary point accurately related to boundary point"
Fact1453¶"area [quantity] assigned to parcel"¶"area [quantity] assigned to parcel"
Fact1419¶"boundary coincides boundary"¶"boundary coincides boundary"
Fact1439¶"boundary point coincides boundary"¶"boundary point coincides boundary"
Fact1263¶"point connected to point"¶"point connected to point"
Fact1194¶"bearing is included in vector"¶"bearing is included in vector | vector consists of bearing"
Fact1334¶"boundary point is included in boundary"¶"boundary point is included in boundary | boundary consists of boundary point"
Fact1113¶"CSD consists of dataset description"¶"CSD consists of dataset description | dataset description is included in CSD"
Fact1195¶"distance is included in vector"¶"distance is included in vector | vector consists of distance"
Fact1407¶"parcel is included in title"¶"parcel is included in title | title consists of parcel"
Fact1008¶"record of survey is included in CSD"¶"record of survey is included in CSD | CSD consists of record of survey"
Fact1349¶"survey diagram is included in record of survey"¶"survey diagram is included in record of survey | record of survey consists of survey diagram"
Fact1114¶"survey report is included in CSD"¶"survey report is included in CSD | CSD consists of survey report"
Fact1009¶"title plan is included in CSD"¶"title plan is included in CSD | CSD consists of title plan"
Fact1126¶"vector is included in series of vectors"¶"vector is included in series of vectors | series of vectors consists of vector"
Fact1418¶"boundary converts boundary"¶"boundary converts boundary"
Fact1423¶"boundary is created by cadastral survey"¶"boundary is created by cadastral survey | cadastral survey creates boundary"
Fact1333¶"parcel is created by cadastral survey"¶"parcel is created by cadastral survey | cadastral survey creates parcel"
Fact1460¶"parcel crosses boundary"¶"parcel crosses boundary"
Fact1432¶"estate defined by boundary"¶"estate defined by boundary | boundary defines estate"
Fact1338¶"parcel defined by boundary"¶"parcel defined by boundary | boundary defines parcel"
Fact1394¶"parcel defined by new parcel"¶"parcel defined by new parcel | new parcel defines parcel"
Fact1128¶"point [end point] is end of series of vectors"¶"point [end point] is end of series of vectors | series of vectors ends at [end point] point"
Fact1131¶"point [end point] is end of vector"¶"point [end point] is end of vector | vector ends at [end point] point"
Fact1388¶"parcel extinguished by parcel"¶"parcel extinguished by parcel | parcel extinguishes parcel"
Fact1454¶"accuracy [positional] of point"¶"accuracy [positional] of point | point has accuracy [positional]"
Fact1298¶"boundary bearing of boundary"¶"boundary bearing of boundary | boundary has boundary bearing"
Fact1301¶"boundary distance of boundary"¶"boundary distance of boundary | boundary has boundary distance"
Fact1139¶"ID of point"¶"ID of point | point has ID"
Fact1097¶"ID of survey mark"¶"ID of survey mark | survey mark has ID"
Fact1329¶"parcel ID of parcel"¶"parcel ID of parcel | parcel has parcel ID"
Fact1325¶"reduced level of point"¶"reduced level of point | point has reduced level"
Fact1110¶"survey purpose of CSD"¶"survey purpose of CSD | CSD has survey purpose"
Fact1420¶"boundary intersects boundary"¶"boundary intersects boundary"
Fact1464¶"accurately defined boundary"¶"accurately defined boundary | boundary is accurately defined"
Fact1463¶"boundary point is accurately defined"¶"boundary point is accurately defined | accurately defined boundary point"
Fact1660¶"accurately determined non-primary parcel boundary"¶"accurately determined non-primary parcel boundary | non-primary parcel boundary is accurately determined"
Fact1055¶"vector is calculated"¶"vector is calculated"
Fact1064¶"CSD [complete csd] is complete"¶"CSD [complete csd] is complete"
Fact1473¶"boundary is defined by survey"¶"boundary is defined by survey"
Fact1474¶"boundary point is defined by survey"¶"boundary point is defined by survey"
Fact1400¶"survey mark is driven below the surface"¶"survey mark is driven below the surface"
Fact1390¶"boundary point [existing boundary point] is existing"¶"boundary point [existing boundary point] is existing"
Fact1396¶"cadastral survey network mark [existing cadastral survey network mark] is existing"¶"cadastral survey network mark [existing cadastral survey network mark] is existing"
Fact1331¶"parcel [extinguished parcel] is extinguished"¶"parcel [extinguished parcel] is extinguished"
Fact1659¶"inaccurately determined non-primary parcel boundary"¶"inaccurately determined non-primary parcel boundary | non-primary parcel boundary is inaccurately determined"
Fact1354¶"boundary is located by reference to permanent structure"¶"boundary is located by reference to permanent structure | permanent structure locates by reference boundary"
Fact1399¶"mark is made historic"¶"mark is made historic"
Fact1056¶"vector is measured"¶"vector is measured"
Fact1392¶"boundary mark [new boundary mark] is new"¶"boundary mark [new boundary mark] is new"
Fact1393¶"mark [new mark] is new"¶"mark [new mark] is new"
Fact1461¶"mark [old survey mark] is old"¶"mark [old survey mark] is old"
Fact1377¶"mark is placed at point"¶"mark is placed at point"
Fact1297¶"boundary mark is readily visible"¶"boundary mark is readily visible"
Fact1422¶"boundary [reinstated boundary] is reinstated"¶"boundary [reinstated boundary] is reinstated"
Fact1404¶"survey mark [reinstated survey mark] is reinstated"¶"survey mark [reinstated survey mark] is reinstated"
Fact1401¶"survey mark is removed"¶"survey mark is removed | removed survey mark"
Fact1105¶"bearing [magnetic bearing] is magnetic"¶"bearing [magnetic bearing] is magnetic"
Fact1437¶"conflict is resolved"¶"conflict is resolved"
Fact1352¶"covenant is revoked"¶"covenant is revoked"
Fact1296¶"boundary mark is soundly anchored in place"¶"boundary mark is soundly anchored in place"
Fact1129¶"series of vectors starts at [start point] point"¶"series of vectors starts at [start point] point | point [start point] is start of series of vectors"
Fact1132¶"vector starts at [start point] point"¶"vector starts at [start point] point | point [start point] is start of vector"
Fact1353¶"easement is surrendered"¶"easement is surrendered"
Fact1058¶"boundary recorded in CSD"¶"boundary recorded in CSD | CSD records boundary"
Fact1294¶"point referenced by permanent reference mark"¶"point referenced by permanent reference mark"
Fact1049¶"boundary point subject to conflict"¶"boundary point subject to conflict"
Fact1048¶"boundary subject to conflict"¶"boundary subject to conflict"
Fact1321¶"parcel subject to claim for adverse possession"¶"parcel subject to claim for adverse possession"
Fact1428¶"parcel subject to reciprocal right of way"¶"parcel subject to reciprocal right of way"
Fact1402¶"parcel [underlying parcel] underlies [non-primary parcel] parcel"¶"parcel [underlying parcel] underlies [non-primary parcel] parcel | parcel [non-primary parcel] overlies [underlying parcel] parcel"
Fact1135¶"accuracy [relative] is categorized as class A accuracy"¶"accuracy [relative] is categorized as class A accuracy | class A accuracy is a category of accuracy [relative]"
Fact1136¶"accuracy [relative] is categorized as class B accuracy"¶"accuracy [relative] is categorized as class B accuracy | class B accuracy is a category of accuracy [relative]"
Fact1137¶"accuracy [relative] is categorized as class C accuracy"¶"accuracy [relative] is categorized as class C accuracy | class C accuracy is a category of accuracy [relative]"
Fact1138¶"accuracy [relative] is categorized as class D accuracy"¶"accuracy [relative] is categorized as class D accuracy | class D accuracy is a category of accuracy [relative]"
Fact1424¶"bearing is categorized as adopted bearing"¶"bearing is categorized as adopted bearing | adopted bearing is a category of bearing"
Fact1406¶"boundary is categorized as accepted boundary"¶"boundary is categorized as accepted boundary | accepted boundary is a category of boundary"
Fact1452¶"boundary is categorized as adopted boundary"¶"boundary is categorized as adopted boundary | adopted boundary is a category of boundary"
Fact1661¶"boundary is categorized as affected by ground movement"¶"boundary is categorized as affected by ground movement | affected by ground movement is a category of boundary"
Fact1410¶"boundary is categorized as class A boundary"¶"boundary is categorized as class A boundary | class A boundary is a category of boundary"
Fact1411¶"boundary is categorized as class B boundary"¶"boundary is categorized as class B boundary | class B boundary is a category of boundary"
Fact1412¶"boundary is categorized as class C boundary"¶"boundary is categorized as class C boundary | class C boundary is a category of boundary"
Fact1413¶"boundary is categorized as class D boundary"¶"boundary is categorized as class D boundary | class D boundary is a category of boundary"
Fact1436¶"boundary is categorized as estate boundary"¶"boundary is categorized as estate boundary | estate boundary is a category of boundary"
Fact1405¶"boundary is categorized as existing boundary"¶"boundary is categorized as existing boundary | existing boundary is a category of boundary"
Fact1302¶"boundary is categorized as height limited boundary"¶"boundary is categorized as height limited boundary | height limited boundary is a category of boundary"
Fact1426¶"boundary is categorized as new boundary"¶"boundary is categorized as new boundary | new boundary is a category of boundary"
Fact1658¶"boundary is categorized as non-primary parcel boundary"¶"boundary is categorized as non-primary parcel boundary | non-primary parcel boundary is a category of boundary"
Fact1435¶"boundary is categorized as parcel boundary"¶"boundary is categorized as parcel boundary | parcel boundary is a category of boundary"
Fact1304¶"boundary is categorized as permanent structure boundary"¶"boundary is categorized as permanent structure boundary | permanent structure boundary is a category of boundary"
Fact1657¶"boundary is categorized as primary parcel boundary"¶"boundary is categorized as primary parcel boundary | primary parcel boundary is a category of boundary"
Fact1305¶"boundary is categorized as right-line boundary"¶"boundary is categorized as right-line boundary | right-line boundary is a category of boundary"
Fact1303¶"boundary is categorized as water or irregular boundary"¶"boundary is categorized as water or irregular boundary | water or irregular boundary is a category of boundary"
Fact1276¶"boundary point is categorized as boundary mark"¶"boundary point is categorized as boundary mark | boundary mark is a category of boundary point"
Fact1414¶"boundary point is categorized as class A boundary point"¶"boundary point is categorized as class A boundary point | class A boundary point is a category of boundary point"
